title,author,blurb,isbn,call_number,cover_filename
The Science of Fear,Dan Gardner,"An analysis of the scientific causes of irrational fear offers insight into the brain's role in causing people to experience and react to fear, in a report that explains how heightened fear in the post-9/11 world is dangerously intersecting with biologically driven responses.",0525950621,,The Science of Fear_31.jpg
Emotional Intelligence,Daniel Goleman,Daniel Goleman offers a vital new curriculum for life that can change the future for us and for our children,9780747528302,,Emotional Intelligence_32.jpg
The Mind of the Market,Michael Shermer,"Bestselling author and psychologist Shermer explains how evolution has shaped the modern economy--and why people are so irrational about money. Drawing on the new field of neuroeconomics, Shermer investigates what brain scans reveal about bargaining, snap purchases, and establishing trust in business.",0805089160,,The Mind of the Market_33.jpg
Wait,Frank Partnoy,"Presents information from scientific studies and interviews with experts in several fields that suggests that delaying responses when making a decision can improve the decision quality, even in situations where time is in short supply.",9781610390040,,Wait_35.jpg
Grit,Angela Duckworth,"Why do naturally talented people frequently fail to reach their potential while other far less gifted individuals go on to achieve amazing things? The secret to outstanding achievement is not talent, but a passionate persistence. In other words, grit. MacArthur Genius Award-winning psychologist Angela Duckworth shares fascinating new revelations about who succeeds in life and why. Based on her cutting-edge research, Duckworth shows how many people achieve remarkable things not just by relying on innate natural talent, but by practising what she calls grit. She then offers a Grit Formula to ...",1785040200,,Grit_36.jpg
Grit,Angela Duckworth,"Why do naturally talented people frequently fail to reach their potential while other far less gifted individuals go on to achieve amazing things? The secret to outstanding achievement is not talent, but a passionate persistence. In other words, grit. MacArthur Genius Award-winning psychologist Angela Duckworth shares fascinating new revelations about who succeeds in life and why. Based on her cutting-edge research, Duckworth shows how many people achieve remarkable things not just by relying on innate natural talent, but by practising what she calls grit. She then offers a Grit Formula to ...",1785040200,,Grit_37.jpg
Give and Take,Adam Grant,"A groundbreaking look at why our interactions with others hold the key to success, from the New York Times bestselling author of Hidden Potential, Think Again, and Originals For generations, we have focused on the individual drivers of success: passion, hard work, talent, and luck. But in today’s dramatically reconfigured world, success is increasingly dependent on how we interact with others. In Give and Take, Adam Grant, an award-winning researcher and Wharton’s highest-rated professor, examines the surprising forces that shape why some people rise to the top of the success ladder while o...",9780670026555,,Give and Take_38.jpg
Smart Swarm,Peter Miller,"How Understanding Flocks, Schools and Colonies Can Make Us Better at Communicating, Decision Making and Getting Things Done. The modern world may be obsessed with speed and productivity, but twenty-first century humans actually have much to learn from the ancient instincts of swarms. A fascinating new take on the concept of collective intelligence and its colourful manifestations in some of our most complex problems, Smart Swarm introduces a compelling new understanding of the real experts on solving our own complex problems relating to such topics as business, politics, and technology. Bas...",0007382979,,Smart Swarm_39.jpg
No Two Alike: Human Nature and Human Individuality,Judith Rich Harris,"The author of the controversial book The Nurture Assumption tackles the biggest mystery in all of psychology: What makes people differ so much in personality and behavior? It can't just be ""nature and nurture,"" because even identical twins who grow up together--same genes, same parents--have different personalities. And if psychologists can't explain why identical twins are different, they also can't explain why each of us differs from everyone else. Why no two people are alike. Harris turns out to be well suited for the role of detective--it isn't easy to pull the wool over her eyes. She r...",9780393329711,,No Two Alike Human Nature and Human Individuality_40.jpg
The Stuff,"Sharlee Jeter, Sampson Davis","Everyone has difficult moments in life. But everyone also has the ability to overcome hardships—and to not only survive but thrive. Discover how to realize your own potential with “one of the most inspiring and motivating books of our time” (Wes Moore, New York Times bestselling author). In the face of impossible odds—maybe the devastating consequences of a personal loss, the pain of a collapsed career, the struggle against a powerful disease, or a destructive and toxic relationship—how do you keep going? We may wonder if we have the strength to survive this ordeal before us. Dr. Sampson Da...",9781501175176,,The Stuff_43.jpg
Play,Stuart L. Brown,"A psychological analysis based on the author's studies in play behavior reveals how play is essential to the development of social skills, problem-solving abilities, and creativity.",1583333339,,Play_44.jpg
Six Impossible Things Before Breakfast,"Wolpert, L. (Lewis) (NBpol)156570",No description available.,8278480435,,
The Parsimonious Universe,"Stefan Hildebrandt, Anthony Tromba","Why does nature prefer some shapes and not others? The variety of sizes, shapes, and irregularities in nature is endless. Skillfully integrating striking full-color illustrations, the authors describe the efforts by scientists and mathematicians since the Renaissance to identify and describe the principles underlying the shape of natural forms. But can one set of laws account for both the symmetry and irregularity as well as the infinite variety of nature's designs? A complete answer to this question is likely never to be discovered. Yet, it is fascinating to see how the search for some sim...",0387979913,,The Parsimonious Universe_46.jpg
What Makes Us Moral?,Craig Hovey,"Is science all we need to make us moral?In his recent book, The Moral Landscape, Sam Harris presents his vision of a world in which reason and science alone determine our values. Here, a leading Christian ethicist subjects this vision to a rigorous critique, providing general readers with a clear, concise, and compelling exposŽ of the most serious flaws in Harris's arguments.",9781620327074,,What Makes Us Moral_47.jpg
Leading Minds,Howard E Gardner,"Drawing on his groundbreaking work on intelligence and creativity, Harvard psychologist Howard Gardner, developer of the theory of Multiple Intelligences, offers fascinating revelations about the mind of the leader and his or her followers. He identifies six constant features of leadership as well as paradoxes that must be resolved for leadership to be effective using portraits of leaders from J. Robert Oppenheimer to Alfred P. Sloan, from Pope John XXIII to Mahatma Gandhi.",9780465027774,,Leading Minds_48.jpg
Irreligion,John Allen Paulos,"Are there any logical reasons to believe in God? Mathematician and bestselling author Paulos thinks not. In ""Irreligion"" he presents the case for his own worldview, organizing his book into 12 chapters that refute the 12 arguments most often put forward for believing in Gods existence.",0809059193,,Irreligion_49.jpg
Sacred Trash,"Adina Hoffman, Peter Cole, Solomon Schechter","Traces the efforts of two women scholars who recovered what has become the most vital cache of Hebrew manuscripts ever discovered, in an account that explains what the findings reveal about Mediterranean Judaism.",9780805242584,,Sacred Trash_50.jpg
"The Declaration of Independence, God, and Evolution",Simon D. Perry,"In this book, Simon Perry has brought together a discussion of politics, philosophy, religion, and science by using the Declaration of Independence as a backdrop. He questions whether Jefferson was motivated by God. Is there a role for religion in our government? Is God real or a fantasy? Is the Good Book really good? Why has man turned to God to achieve eternal life? Does the mythicism of creation prevail over evolution? Is man indoctrinated at an early age to accept God unconditionally? These are but a few of the questions that he deals with. As you read, you will discover others. He spen...",9780578181417,,The Declaration of Independence God and Evolution_51.jpg
Thomas Merton,"William H. Shannon, Christine M. Bochen","Thomas Merton (1915-1968) is widely regarded as one of the most influential spiritual writers. This collection offers a portrait of the monk, mystic, and prophet who helped to shape American Catholic thought, fusing spirituality and social justice and pursuing unity beyond difference.",0745953743,,Thomas Merton_52.jpg
The Signal and the Noise,Nate Silver,"""One of the more momentous books of the decade."" —The New York Times Book Review Nate Silver built an innovative system for predicting baseball performance, predicted the 2008 election within a hair’s breadth, and became a national sensation as a blogger—all by the time he was thirty. He solidified his standing as the nation's foremost political forecaster with his near perfect prediction of the 2012 election. Silver is the founder and editor in chief of the website FiveThirtyEight. Drawing on his own groundbreaking work, Silver examines the world of prediction, investigating how we can dis...",9780143125082,,The Signal and the Noise_53.jpg
The Molecule Hunt,Martin Jones,A leading expert at the forefront of bio-archaeology explains how this pioneering science is rewriting human history and unlocking stories of the past that could never have been told before.,1559706112,,The Molecule Hunt_54.jpg
Educated,Tara Westover,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • A KIRKUS REVIEWS BEST NONFICTION BOOK OF THE CENTURY • FINALIST: National B...",9780399590511,,Educated_56.jpg
Educated,Tara Westover,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • A KIRKUS REVIEWS BEST NONFICTION BOOK OF THE CENTURY • FINALIST: National B...",9780399590511,,Educated_57.jpg
Educated,Tara Westover,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • A KIRKUS REVIEWS BEST NONFICTION BOOK OF THE CENTURY • FINALIST: National B...",9780399590511,,Educated_58.jpg
Educated,Tara Westover,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • A KIRKUS REVIEWS BEST NONFICTION BOOK OF THE CENTURY • FINALIST: National B...",9780399590511,,Educated_59.jpg
Educated,Tara Westover,"#1 NEW YORK TIMES, WALL STREET JOURNAL, AND BOSTON GLOBE BESTSELLER • One of the most acclaimed books of our time: an unforgettable memoir about a young woman who, kept out of school, leaves her survivalist family and goes on to earn a PhD from Cambridge University “Extraordinary . . . an act of courage and self-invention.”—The New York Times NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW • ONE OF PRESIDENT BARACK OBAMA’S FAVORITE BOOKS OF THE YEAR • BILL GATES’S HOLIDAY READING LIST • A KIRKUS REVIEWS BEST NONFICTION BOOK OF THE CENTURY • FINALIST: National B...",9780399590511,,Educated_60.jpg
1493,Charles C. Mann,"More than 200 million years ago, geological forces split apart the continents. Isolated from each other, the two halves of the world developed totally different suites of plants and animals. Columbus's voyages brought them back together--and marked the beginning of an extraordinary exchange of flora and fauna between Eurasia and the Americas.",9780307265722,,1493_61.jpg
The Rage of Nations,Edward R. Kantowicz,"In the first volume of a two-volume set, Canadian historian Kantowicz describes the events, people, and ideas driving the world's social and political course through two world wars, the Holocaust, revolutions, depressions, and other phenomena. Covers from the beginning of the century through World War II; Coming Apart, Coming Together will presumably take the story from there. Annotation copyrighted by Book News, Inc., Portland, OR",0802844553,,The Rage of Nations_63.jpg
Panzer Commander,Hans Von Luck,"A stunning look at World War II from the other side... From the turret of a German tank, Colonel Hans von Luck commanded Rommel's 7th and then 21st Panzer Division. El Alamein, Kasserine Pass, Poland, Belgium, Normandy on D-Day, the disastrous Russian front--von Luck fought there with some of the best soldiers in the world. German soldiers. Awarded the German Cross in Gold and the Knight's Cross, von Luck writes as an officer and a gentleman. Told with the vivid detail of an impassioned eyewitness, his rare and moving memoir has become a classic in the literature of World War II, a first-pe...",9780440208020,,Panzer Commander_64.jpg
The Atlantic and Its Enemies,Norman Stone,"After World War II, the former allies were saddled with a devastated world economy and traumatized populace. Soviet influence spread insidiously from nation to nation, and the Atlantic powers -- the Americans, the British, and a small band of allies -- were caught flat-footed by the coups, collapsing armies, and civil wars that sprung from all sides. The Cold War had begun in earnest. In The Atlantic and Its Enemies, prize-winning historian Norman Stone assesses the years between World War II and the collapse of the Iron Curtain. He vividly demonstrates that for every Atlantic success there...",9780465021734,,The Atlantic and Its Enemies_65.jpg
Paris Under Water,Jeffrey H. Jackson,"In the winter of 1910, the river that brought life to Paris quickly became a force of destruction. Torrential rainfall saturated the soil, and faulty engineering created a perfect storm of conditions that soon drowned Parisian streets, homes, businesses, and museums. The city seemed to have lost its battle with the elements. Given the Parisians' history of deep-seated social, religious, and political strife, it was questionable whether they could collaborate to confront the crisis. Yet while the sewers, Métro, and electricity failed around them, Parisians of all backgrounds rallied to save ...",9780230102316,,Paris Under Water_66.jpg
Einstein's German World,Fritz Stern,"The French political philosopher Raymond Aron once observed that the twentieth century ""could have been Germany's century."" In 1900, the country was Europe's preeminent power, its material strength and strident militaristic ethos apparently balanced by a vital culture and extraordinary scientific achievement. It was poised to achieve greatness. In Einstein's German World, the eminent historian Fritz Stern explores the ambiguous promise of Germany before Hitler, as well as its horrifying decline into moral nihilism under Nazi rule, and aspects of its remarkable recovery since World War II. H...",9780691171302,,Einsteins German World_67.jpg
The Kremlin's Scholar,Dmitrii Shepilov,"Dmitrii Shepilov (1905-1995), a prominent Soviet leader and member of the Communist Party elite, rose to power under Joseph Stalin in the 1940s and 1950s, then fell into political disgrace after being implicated in a coup attempt against Nikita Khrushchev in 1957. In this remarkable memoir, Shepilov provides an unparalleled account of Soviet politics during this period, as well as first-hand recollections of prominent political leaders including Stalin, Khrushchev, Mao Zedong, Lavrentii Beria, Andrei Zhdanov, and others. Secretary of the Central Committee, editor in chief of Pravda, and dir...",0300092067,,The Kremlins Scholar_68.jpg
India,John N. Mayor,"India, long known for its huge population, religious conflicts and its status as not-quite best friend ally of the United States has moved from the backwaters of world attention to centre stage. Afghanistan and Pakistan with whom India is in almost conflict, are neighbours. India has developed a nuclear capability which also has a way of grabbing attention. This book discusses current issues and historical background and provides a thorough index important to a better understanding of this diverse country.",1590332997,,India_70.jpg
Russia and the Arabs,Evgeniĭ Maksimovich Primakov,"Fifty tumultuous years of Middle East history, from the perspective of a former Russian prime minister and KGB general",,,Russia and the Arabs_71.jpg
The Complete Index to British Sound Film Since 1928,Alan Goble,"From the editor of the Complete Index to World Film comes an equally comprehensive, if specialized, sourcebook on the output of the British film industry in the sound era. A vast range of theatrical styles and talents are covered in II fast-access indexes, including: -- 12,900 film entries with information on title, year, director(s), actor(s), type of film, length, alternative title, production/releasing company, and coproducing countries -- 3,900 directors -- 24,600 actors -- 1,100 cinematographers -- 1,200 composers -- 2,400 authors whose literary works were adapted to the screen",,,The Complete Index to British Sound Film Since 192_72.jpg
"The Dragons, the Giant, the Women",Wayétu Moore,"FINALIST FOR THE 2020 NATIONAL BOOK CRITICS CIRCLE AWARD FOR AUTOBIOGRAPHY An engrossing memoir of escaping the First Liberian Civil War and building a life in the United States When Wayétu Moore turns five years old, her father and grandmother throw her a big birthday party at their home in Monrovia, Liberia, but all she can think about is how much she misses her mother, who is working and studying in faraway New York. Before she gets the reunion her father promised her, war breaks out in Liberia. The family is forced to flee their home on foot, walking and hiding for three weeks until the...",9781644451281,,The Dragons the Giant the Women_73.jpg
1973 Nervous Breakdown,Andreas Killen,"Furnishes an engaging and eye-opening dissection of a watershed year in American history, 1973, which was defined by defeat in Vietnam, Roe v. Wade, the oil crisis, and the Watergate hearings, as told through newspapers, magazines, novels, films, TV shows, and music of that time. Reprint. 15,000 first printing.",9781596910607,,1973 Nervous Breakdown_74.jpg
Historians in Trouble,Jon Wiener,"Examines the various history scandals of the last few years, arguing that media spectacles end careers, only when powerful groups outside he profession demand punishment, and that such campaigns typically come from the right rather than the left.",9781595581594,,Historians in Trouble_75.jpg
American Sketches; by a native of the United States,AMERICAN SKETCHES,No description available.,,,American Sketches by a native of the United States_76.jpg
Who's who in America,"Gómez, Laura E., 1964- author.",No description available.,0837969751,,Whos who in America_77.jpg
Harvest of Empire,Juan Gonzalez,"A sweeping history of the Latino experience in the United States—thoroughly revised and updated. The first new edition in ten years of this important study of Latinos in U.S. history, Harvest of Empire spans five centuries-from the first New World colonies to the first decade of the new millennium. Latinos are now the largest minority group in the United States, and their impact on American popular culture-from food to entertainment to literature-is greater than ever. Featuring family portraits of real- life immigrant Latino pioneers, as well as accounts of the events and conditions that co...",9780593511473,,Harvest of Empire_78.jpg
The Best We Could Do,Thi Bui,"National bestseller 2017 National Book Critics Circle (NBCC) Finalist ABA Indies Introduce Winter / Spring 2017 Selection Barnes & Noble Discover Great New Writers Spring 2017 Selection ALA 2018 Notable Books Selection An intimate and poignant graphic novel portraying one family’s journey from war-torn Vietnam, from debut author Thi Bui. This beautifully illustrated and emotional story is an evocative memoir about the search for a better future and a longing for the past. Exploring the anguish of immigration and the lasting effects that displacement has on a child and her family, Bui docume...",9781613129302,,The Best We Could Do_79.jpg
The Black Panther Party,David F. Walker,"WINNER OF THE EISNER AWARD • A bold and fascinating graphic novel history of the revolutionary Black Panther Party. Founded in Oakland, California, in 1966, the Black Panther Party for Self-Defense was a radical political organization that stood in defiant contrast to the mainstream civil rights movement. This gripping illustrated history explores the impact and significance of the Panthers, from their social, educational, and healthcare programs that were designed to uplift the Black community to their battle against police brutality through citizen patrols and frequent clashes with the FB...",9781984857712,,The Black Panther Party_80.jpg
Who's who in American Law,"Hall, Rebecca, 1963- author.",No description available.,,,Whos who in American Law_81.jpg
1491 (Second Edition),Charles C. Mann,"NATIONAL BESTSELLER • A groundbreaking work of science, history, and archaeology that radically alters our understanding of the Americas before the arrival of Columbus in 1492—from “a remarkably engaging writer” (The New York Times Book Review). Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any c...",9780307278180,,1491 Second Edition_82.jpg
General Matthew B. Ridgway,Jonathan M. Soffer,"Detailing the life and legacy of one of America's highest profile military commanders, this biography looks at how Ridgway maintained his corporatist ideals through the critical days of World War II and the Cold War. The qualities that Ridgway honed on the battlefields of Europe and Korea were the same that he would draw upon in more politicized jobs as NATO commander and US Army Chief of Staff, and in retirement as the leading military critic of American intervention in Vietnam. The global scope of Ridgway's involvement, in wartime and peacetime, from Europe to Latin American to the Far Ea...",,,General Matthew B Ridgway_83.jpg
A Safe Haven,"Allis Radosh, Ronald Radosh","“[This] revelatory account of Truman's vital contributions to Israel's founding. . .is told. . . with an elegance informed by thorough research."" —Wall Street Journal ""Even knowing how the story ends, A Safe Haven had me sitting on the edge of my seat.” —Cokie Roberts A dramatic, detailed account of the events leading up to the creation of a Jewish homeland and the true story behind President Harry S. Truman’s controversial decision to recognize of the State of Israel in 1948, drawn from Truman’s long-lost diary entries and other previously unused archival materials.",9780060594633,,A Safe Haven_84.jpg
Daniel Patrick Moynihan,Daniel Patrick Moynihan,Collects the private letters of an American statesman who not only represented New York in the Senate but also served in key positions under four presidents.,9781586488017,,Daniel Patrick Moynihan_85.jpg
